                                                                                                                                                                                                                                                                            28 Jan 2026 18:20:01
SatelliteCollection-constellation


RowNumber          Name               Epoch (UTCG)          Ephemeris Start Time (UTCG)    Ephemeris Stop Time (UTCG)     ID    Shell    Plane    Slot    Altitude (km)    SemimajorAxis (km)    Eccentricity    Inclination (deg)    ArgumentOfPerigee (deg)    RAAN (deg)    TrueAnomaly (deg)
       78    Shell_1_P04_S18    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     77    1        04       18         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              360.000
       79    Shell_1_P04_S19    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     78    1        04       19         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              378.000
       80    Shell_1_P04_S20    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     79    1        04       20         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              396.000
       81    Shell_1_P05_S01    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     80    1        05       1          949.863000           7328.000000        0.000000               62.900                      0.000       327.500               72.000
       82    Shell_1_P05_S02    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     81    1        05       2          949.863000           7328.000000        0.000000               62.900                      0.000       327.500               90.000
       83    Shell_1_P05_S03    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     82    1        05       3          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              108.000
       84    Shell_1_P05_S04    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     83    1        05       4          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              126.000
       85    Shell_1_P05_S05    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     84    1        05       5          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              144.000
       86    Shell_1_P05_S06    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     85    1        05       6          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              162.000
       87    Shell_1_P05_S07    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     86    1        05       7          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              180.000
       88    Shell_1_P05_S08    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     87    1        05       8          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              198.000
       89    Shell_1_P05_S09    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     88    1        05       9          949.863000           7328.000000        0.000000               62.900                      0.000       327.500              216.000
       90    Shell_1_P05_S10    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     89    1        05       10         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              234.000
       91    Shell_1_P05_S11    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     90    1        05       11         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              252.000
